record_id,api_name,smiles,molecular_weight,logP,pKa,aqueous_solubility_log,bcs_class,decomposition_onset_c,tg_predicted_celsius,hygroscopicity_class,polymorphism_risk_tier,particle_size_d50_um,bulk_density_g_ml,tapped_density_g_ml,true_density_g_cm3,flow_properties_carr_index,dose_mg,asd_suitability_score,excipient_name,functional_role,compatibility_tier,composite_compatibility,disc_match_score,fir_match_score,api_fir_spectrum,moisture_stability,polymorphic_risk,confidence_level,concentration_range_pct,is_most_compatible,alternatives_for_role,rejected_excipients,shap_values_per_excipient,primary_technique,technique_confidence,process_parameters,alternative_techniques,desirability_weight,rejection_reason_primary,formulation_strategy
AB-2307,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.76,4.21,[4.5],-4.12,II,203.8,,low,high,41.5,0.37,0.51,1.27,27.1,25,96.3,Kollidon VA 64,polymer_carrier,2,0.83,0.87,0.83,"{""wavenumbers"": [760, 899, 1054, 1253, 1447, 1619, 1733, 2942, 3286], ""absorbance"": [0.553, 0.704, 0.078, 0.134, 0.848, 0.19, 0.385, 0.949, 0.34], ""mw_ref"": 357.76}",0.91,0.5,0.83,"{""min"": 20, ""max"": 61, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Eudragit EPO"", ""compatibility_score"": 0.766}, {""excipient"": ""PVP K17"", ""compatibility_score"": 0.713}]","[{""excipient"": ""HPMC-AS MF"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 3.141}, {""excipient"": ""PVPVA 64"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.288}]","[0.0014, 0.0148, 0.0395, 0.0009, 0.0076, 0.0302, 0.0877, -0.062]",coprecipitation,0.767,"[{""parameter"": ""antisolvent_ratio"", ""value"": 11.21}, {""parameter"": ""precipitation_temp_c"", ""value"": 9.17}, {""parameter"": ""drying_time_h"", ""value"": 17.82}, {""parameter"": ""polymer_drug_ratio"", ""value"": 2.03}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.749}, {""technique"": ""hot_melt_extrusion"", ""confidence"": 0.571}]",0.38,high_residual_solvent_risk,amorphous_solid_dispersion
AB-2308,Ketoconazole,CC(=O)N1CCN(CC1)c1ccc(OC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,530.86,4.42,[6.5],-4.7,II,154.4,,low,medium,39.3,0.33,0.44,1.23,27.0,200,98.0,PVP K30,polymer_carrier,2,0.74,0.73,0.65,"{""wavenumbers"": [739, 910, 1050, 1258, 1458, 1609, 1726, 2946, 3312], ""absorbance"": [0.548, 0.283, 0.266, 0.969, 0.133, 0.731, 0.739, 0.251, 0.284], ""mw_ref"": 530.86}",0.89,0.24,0.73,"{""min"": 20, ""max"": 46, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Eudragit EPO"", ""compatibility_score"": 0.776}, {""excipient"": ""Copovidone"", ""compatibility_score"": 0.812}]","[{""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 3.38}, {""excipient"": ""HPMC E5"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 1.929}]","[0.0045, 0.0305, 0.0194, 0.0247, 0.0004, 0.1331, -0.0089, 0.0079]",hot_melt_extrusion,0.725,"[{""parameter"": ""barrel_temp_c"", ""value"": 184.65}, {""parameter"": ""screw_speed_rpm"", ""value"": 84.88}, {""parameter"": ""feed_rate_g_min"", ""value"": 13.2}, {""parameter"": ""residence_time_min"", ""value"": 3.57}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.745}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.758}]",0.62,melting_point_depression_below_processing_window,amorphous_solid_dispersion
AB-2309,Cimetidine,CN/C(=N/C#N)NCCSc1nc[nH]c1C,252.22,0.4,"[7.1, 6.8]",-0.73,III,142.4,,medium,low,67.8,0.49,0.65,1.41,25.9,400,51.2,DCPA,filler_binder,2,0.72,0.71,0.64,"{""wavenumbers"": [756, 911, 1047, 1262, 1456, 1617, 1712, 2962, 3288], ""absorbance"": [0.246, 0.339, 0.88, 0.186, 0.42, 0.734, 0.404, 0.934, 0.245], ""mw_ref"": 252.22}",0.8,0.11,0.7,"{""min"": 30, ""max"": 53, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Mannitol"", ""compatibility_score"": 0.809}, {""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.842}]","[{""excipient"": ""Mannitol"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 2.749}, {""excipient"": ""HPC LF"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 2.651}]","[-0.0467, -0.0038, 0.0047, 0.0568, -0.0063, 0.0023, -0.175, 0.0012]",direct_compression,0.676,"[{""parameter"": ""compression_force_kn"", ""value"": 25.82}, {""parameter"": ""tablet_hardness_n"", ""value"": 192.45}, {""parameter"": ""disintegration_target_min"", ""value"": 24.81}, {""parameter"": ""punch_speed_rpm"", ""value"": 69.44}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.539}]",0.16,polymorphic_conversion_under_stress,crystalline_suspension
AB-2310,Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,171.6,-0.18,[2.5],-0.59,I,160.5,,low,low,59.5,0.5,0.64,1.43,21.4,400,49.7,TBC,plasticizer,2,0.72,0.65,0.61,"{""wavenumbers"": [762, 911, 1051, 1251, 1453, 1605, 1706, 2959, 3312], ""absorbance"": [0.691, 0.349, 0.97, 0.963, 0.197, 0.2, 0.34, 0.231, 0.304], ""mw_ref"": 171.6}",0.92,0.1,0.7,"{""min"": 5, ""max"": 25, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PEG 4000"", ""compatibility_score"": 0.71}, {""excipient"": ""TEC"", ""compatibility_score"": 0.754}]","[{""excipient"": ""PEG 6000"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 2.804}, {""excipient"": ""PEG 4000"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 3.29}]","[0.0453, 0.0196, 0.0254, 0.0139, -0.0162, 0.0207, 0.0245, 0.0125]",hot_melt_coating,0.668,"[{""parameter"": ""coating_temp_c"", ""value"": 75.65}, {""parameter"": ""spray_rate_g_min"", ""value"": 14.2}, {""parameter"": ""pan_speed_rpm"", ""value"": 29.83}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 14.66}]","[{""technique"": ""direct_compression"", ""confidence"": 0.511}, {""technique"": ""wet_granulation"", ""confidence"": 0.634}]",0.78,moisture_uptake_amorphous_collapse,solid_solution
AB-2311,Dexamethasone,CC1CC2C(C(=O)CO)(O)CCC2(C)C2CCC3=CC(=O)C=CC3(C)C12F,391.96,1.82,[],-1.45,I,261.6,,low,medium,41.6,0.39,0.56,1.3,29.2,8,45.9,Starch 1500,filler_binder,2,0.77,0.77,0.71,"{""wavenumbers"": [738, 888, 1050, 1236, 1463, 1609, 1729, 2936, 3298], ""absorbance"": [0.679, 0.121, 0.521, 0.336, 0.645, 0.746, 0.455, 0.734, 0.445], ""mw_ref"": 391.96}",0.87,0.22,0.76,"{""min"": 30, ""max"": 52, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.775}, {""excipient"": ""Mannitol"", ""compatibility_score"": 0.82}]","[{""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.779}, {""excipient"": ""MCC PH101"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 1.355}]","[0.0018, 0.0209, 0.0094, 0.0003, 0.0013, 0.0033, -0.0013, 0.0126]",direct_compression,0.753,"[{""parameter"": ""compression_force_kn"", ""value"": 19.58}, {""parameter"": ""tablet_hardness_n"", ""value"": 73.3}, {""parameter"": ""disintegration_target_min"", ""value"": 17.06}, {""parameter"": ""punch_speed_rpm"", ""value"": 54.32}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.514}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.786}]",0.18,pH_incompatibility_solubility_precipitation,crystalline_suspension
AB-2312,Ibuprofen,CC(Cc1ccc(cc1)C(C(=O)O)C)C,206.49,4.14,[4.4],-1.72,II,230.3,,low,medium,43.1,0.42,0.59,1.23,27.6,400,93.0,PVPVA 64,polymer_carrier,2,0.83,0.87,0.82,"{""wavenumbers"": [748, 910, 1036, 1237, 1446, 1624, 1731, 2953, 3313], ""absorbance"": [0.742, 0.758, 0.444, 0.527, 0.957, 0.474, 0.985, 0.288, 0.924], ""mw_ref"": 206.49}",0.8,0.23,0.82,"{""min"": 20, ""max"": 71, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.839}, {""excipient"": ""HPMC E15"", ""compatibility_score"": 0.707}]","[{""excipient"": ""Soluplus"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.487}, {""excipient"": ""PVP K30"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 1.043}]","[0.0038, 0.006, -0.037, 0.0378, 0.0219, 0.0003, 0.013, 0.0059]",spray_drying,0.785,"[{""parameter"": ""inlet_temp_c"", ""value"": 120.96}, {""parameter"": ""outlet_temp_c"", ""value"": 88.99}, {""parameter"": ""feed_conc_pct"", ""value"": 12.53}, {""parameter"": ""atomization_pressure_bar"", ""value"": 1.14}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.678}, {""technique"": ""coprecipitation"", ""confidence"": 0.793}]",0.25,hygroscopicity_induced_phase_separation,amorphous_solid_dispersion
AB-2313,Metformin,CN(C)C(=N)NC(=N)N,129.14,-6.22,"[2.8, 11.5]",0.86,III,238.8,,medium,low,78.9,0.56,0.75,1.47,24.0,500,20.0,Mannitol,filler_binder,3,0.62,0.57,0.53,"{""wavenumbers"": [745, 906, 1038, 1261, 1446, 1614, 1715, 2939, 3309], ""absorbance"": [0.195, 0.976, 0.498, 0.248, 0.504, 0.465, 0.431, 0.935, 0.128], ""mw_ref"": 129.14}",0.69,0.06,0.63,"{""min"": 30, ""max"": 52, ""unit"": ""% w/w""}",False,"[{""excipient"": ""DCPA"", ""compatibility_score"": 0.69}, {""excipient"": ""HPC LF"", ""compatibility_score"": 0.741}]","[{""excipient"": ""Starch 1500"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 1.452}, {""excipient"": ""HPC LF"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 3.33}]","[-0.0003, 0.0117, 0.0109, 0.0402, 0.0103, 0.021, -0.0016, 0.0126]",direct_compression,0.611,"[{""parameter"": ""compression_force_kn"", ""value"": 26.59}, {""parameter"": ""tablet_hardness_n"", ""value"": 133.92}, {""parameter"": ""disintegration_target_min"", ""value"": 20.18}, {""parameter"": ""punch_speed_rpm"", ""value"": 41.45}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.721}]",0.34,acid_base_interaction_proton_transfer,crystalline_suspension
AB-2314,Danazol,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,337.66,4.47,[],-4.36,II,227.3,,low,high,44.2,0.33,0.5,1.22,31.6,200,94.0,Soluplus,polymer_carrier,2,0.81,0.83,0.81,"{""wavenumbers"": [740, 908, 1037, 1253, 1463, 1621, 1729, 2949, 3286], ""absorbance"": [0.153, 0.618, 0.525, 0.392, 0.923, 0.338, 0.595, 0.789, 0.773], ""mw_ref"": 337.66}",0.92,0.45,0.79,"{""min"": 20, ""max"": 43, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.847}, {""excipient"": ""PVP K17"", ""compatibility_score"": 0.78}]","[{""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 2.331}, {""excipient"": ""HPMC-AS HF"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.911}]","[0.0075, -0.0921, -0.0155, 0.0167, -0.0252, 0.035, 0.0101, -0.0016]",hot_melt_extrusion,0.749,"[{""parameter"": ""barrel_temp_c"", ""value"": 168.5}, {""parameter"": ""screw_speed_rpm"", ""value"": 89.62}, {""parameter"": ""feed_rate_g_min"", ""value"": 4.44}, {""parameter"": ""residence_time_min"", ""value"": 1.09}]","[{""technique"": ""hot_melt_coating"", ""confidence"": 0.529}, {""technique"": ""spray_drying"", ""confidence"": 0.815}]",0.6,,amorphous_solid_dispersion
AB-2315,Tamoxifen,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.94,7.09,[8.9],-5.98,II,101.9,,low,medium,53.0,0.38,0.51,1.18,28.0,20,98.0,HPMC-AS MF,polymer_carrier,2,0.76,0.74,0.7,"{""wavenumbers"": [741, 908, 1047, 1257, 1451, 1633, 1716, 2951, 3305], ""absorbance"": [0.885, 0.771, 0.69, 0.213, 0.309, 0.78, 0.497, 0.679, 0.392], ""mw_ref"": 371.94}",0.89,0.25,0.75,"{""min"": 20, ""max"": 80, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVP K17"", ""compatibility_score"": 0.73}, {""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.885}]","[{""excipient"": ""PVP K30"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.841}, {""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 2.442}]","[-0.0473, 0.0584, 0.0121, 0.08, 0.0147, 0.0352, -0.0006, 0.012]",spray_drying,0.709,"[{""parameter"": ""inlet_temp_c"", ""value"": 106.48}, {""parameter"": ""outlet_temp_c"", ""value"": 73.6}, {""parameter"": ""feed_conc_pct"", ""value"": 3.24}, {""parameter"": ""atomization_pressure_bar"", ""value"": 3.16}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.658}, {""technique"": ""nanosuspension"", ""confidence"": 0.571}]",0.81,oxidative_degradation_peroxide_content,amorphous_solid_dispersion
AB-2316,Metoprolol,COCCC(=O)Nc1ccc(CC(O)CNC(C)C)cc1,266.87,1.92,[9.7],-0.87,I,75.7,,low,low,66.7,0.5,0.68,1.32,21.4,100,52.7,MCC PH101,filler_binder,2,0.82,0.78,0.79,"{""wavenumbers"": [746, 897, 1040, 1243, 1435, 1611, 1732, 2948, 3305], ""absorbance"": [0.656, 0.452, 0.127, 0.984, 0.151, 0.391, 0.222, 0.658, 0.683], ""mw_ref"": 266.87}",0.89,0.08,0.79,"{""min"": 30, ""max"": 54, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPC LF"", ""compatibility_score"": 0.75}, {""excipient"": ""DCPA"", ""compatibility_score"": 0.778}]","[{""excipient"": ""HPC LF"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.184}, {""excipient"": ""Mannitol"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 1.881}]","[0.0226, 0.0038, -0.0106, 0.0159, -0.0075, 0.0158, 0.005, 0.0006]",direct_compression,0.764,"[{""parameter"": ""compression_force_kn"", ""value"": 9.08}, {""parameter"": ""tablet_hardness_n"", ""value"": 180.19}, {""parameter"": ""disintegration_target_min"", ""value"": 10.16}, {""parameter"": ""punch_speed_rpm"", ""value"": 36.75}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.773}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.517}]",0.45,,crystalline_suspension
AB-2317,Ritonavir,CC(C)c1nc(CN(C)C(=O)c2csc(n2)C(C)C)cs1,719.95,6.81,[],-5.74,II,130.6,,low,high,66.1,0.28,0.38,1.17,29.0,100,98.0,PVP K30,polymer_carrier,2,0.7,0.69,0.63,"{""wavenumbers"": [761, 887, 1048, 1238, 1456, 1627, 1730, 2951, 3309], ""absorbance"": [0.548, 0.712, 0.654, 0.77, 0.522, 0.588, 0.434, 0.664, 0.536], ""mw_ref"": 719.95}",0.91,0.47,0.71,"{""min"": 20, ""max"": 71, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC E5"", ""compatibility_score"": 0.696}, {""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.82}]","[{""excipient"": ""Copovidone"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.034}, {""excipient"": ""PVP K17"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 3.052}]","[-0.0288, 0.107, -0.0299, 0.0623, 0.019, 0.005, -0.0236, 0.0101]",spray_drying,0.676,"[{""parameter"": ""inlet_temp_c"", ""value"": 109.91}, {""parameter"": ""outlet_temp_c"", ""value"": 70.56}, {""parameter"": ""feed_conc_pct"", ""value"": 6.7}, {""parameter"": ""atomization_pressure_bar"", ""value"": 1.0}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.46}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.713}]",0.72,chemical_reactivity_esterification_risk,amorphous_solid_dispersion
AB-2318,Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,314.65,0.18,"[8.2, 2.7]",-0.51,III,71.0,,high,low,72.2,0.5,0.68,1.42,24.0,150,50.0,HPC LF,filler_binder,2,0.7,0.72,0.69,"{""wavenumbers"": [762, 894, 1042, 1243, 1446, 1608, 1733, 2953, 3305], ""absorbance"": [0.891, 0.862, 0.459, 0.767, 0.141, 0.381, 0.523, 0.131, 0.837], ""mw_ref"": 314.65}",0.59,0.08,0.72,"{""min"": 30, ""max"": 56, ""unit"": ""% w/w""}",False,"[{""excipient"": ""DCPA"", ""compatibility_score"": 0.73}, {""excipient"": ""MCC PH101"", ""compatibility_score"": 0.886}]","[{""excipient"": ""Mannitol"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 0.919}, {""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.192}]","[0.0172, 0.0051, 0.0375, 0.0162, 0.0049, 0.0119, 0.0363, 0.0011]",wet_granulation,0.694,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 19.86}, {""parameter"": ""impeller_speed_rpm"", ""value"": 167.3}, {""parameter"": ""granulation_time_min"", ""value"": 8.65}, {""parameter"": ""drying_temp_c"", ""value"": 58.57}]","[{""technique"": ""direct_compression"", ""confidence"": 0.51}]",0.18,thermodynamic_incompatibility_chi_exceeds_threshold,crystalline_suspension
AB-2319,Tamoxifen,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.04,6.99,[8.9],-6.12,II,103.4,,low,medium,57.0,0.37,0.54,1.2,26.4,20,98.0,Captex 355,lipid_base,2,0.71,0.67,0.62,"{""wavenumbers"": [738, 898, 1050, 1248, 1463, 1619, 1715, 2938, 3305], ""absorbance"": [0.392, 0.058, 0.638, 0.216, 0.46, 0.4, 0.994, 0.882, 0.69], ""mw_ref"": 371.04}",0.89,0.25,0.7,"{""min"": 20, ""max"": 53, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.779}, {""excipient"": ""Capmul MCM"", ""compatibility_score"": 0.738}]","[{""excipient"": ""Capmul MCM"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 1.171}, {""excipient"": ""Labrasol"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.856}]","[0.0472, 0.0157, 0.0309, 0.0317, -0.0379, 0.052, -0.0152, -0.0086]",lipid_based_formulation,0.708,"[{""parameter"": ""lipid_content_pct"", ""value"": 60.54}, {""parameter"": ""hlb_value"", ""value"": 12.93}, {""parameter"": ""drug_loading_pct"", ""value"": 14.07}, {""parameter"": ""surfactant_ratio"", ""value"": 0.29}]","[{""technique"": ""spray_drying"", ""confidence"": 0.537}, {""technique"": ""hot_melt_extrusion"", ""confidence"": 0.508}]",0.19,thermodynamic_incompatibility_chi_exceeds_threshold,lipid_based_drug_delivery
AB-2320,Sulfasalazine,OC(=O)c1ccc(N=Nc2ccc(NC(=O)c3cccc(O)c3N)cc2)cc1,398.85,3.68,"[9.0, 2.3]",-4.24,IV,218.2,,low,medium,48.2,0.39,0.54,1.28,26.7,500,98.0,Kollidon VA 64,polymer_carrier,2,0.83,0.86,0.81,"{""wavenumbers"": [753, 893, 1062, 1248, 1451, 1617, 1706, 2959, 3288], ""absorbance"": [0.766, 0.268, 0.749, 0.729, 0.53, 0.703, 0.088, 0.909, 0.305], ""mw_ref"": 398.85}",0.85,0.24,0.8,"{""min"": 20, ""max"": 50, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC-AS HF"", ""compatibility_score"": 0.768}, {""excipient"": ""Eudragit EPO"", ""compatibility_score"": 0.78}]","[{""excipient"": ""PVP K17"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 0.925}, {""excipient"": ""HPMC E15"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 3.406}]","[0.0073, -0.0014, 0.0017, 0.0592, -0.0229, -0.0124, 0.0894, 0.0149]",spray_drying,0.753,"[{""parameter"": ""inlet_temp_c"", ""value"": 172.65}, {""parameter"": ""outlet_temp_c"", ""value"": 86.81}, {""parameter"": ""feed_conc_pct"", ""value"": 12.43}, {""parameter"": ""atomization_pressure_bar"", ""value"": 4.12}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.659}, {""technique"": ""nanosuspension"", ""confidence"": 0.546}]",0.76,acid_base_interaction_proton_transfer,amorphous_solid_dispersion
AB-2321,Ketoconazole,CC(=O)N1CCN(CC1)c1ccc(OC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,532.63,4.5,[6.5],-4.75,II,158.2,,low,medium,41.0,0.39,0.51,1.25,28.6,200,98.0,HPMC-AS MF,polymer_carrier,2,0.84,0.83,0.84,"{""wavenumbers"": [735, 894, 1046, 1261, 1436, 1625, 1718, 2962, 3301], ""absorbance"": [0.555, 0.498, 0.653, 0.413, 0.139, 0.646, 0.649, 0.054, 0.492], ""mw_ref"": 532.63}",0.92,0.25,0.84,"{""min"": 20, ""max"": 42, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVP K17"", ""compatibility_score"": 0.764}, {""excipient"": ""HPMC-AS HF"", ""compatibility_score"": 0.711}]","[{""excipient"": ""Soluplus"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 2.572}, {""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 1.062}]","[0.0189, 0.0281, 0.0099, -0.0007, -0.0112, -0.0242, 0.0219, 0.015]",hot_melt_extrusion,0.793,"[{""parameter"": ""barrel_temp_c"", ""value"": 138.2}, {""parameter"": ""screw_speed_rpm"", ""value"": 122.65}, {""parameter"": ""feed_rate_g_min"", ""value"": 7.91}, {""parameter"": ""residence_time_min"", ""value"": 5.3}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.615}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.471}]",0.58,moisture_uptake_amorphous_collapse,amorphous_solid_dispersion
AB-2322,Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,314.91,3.89,[],-3.95,II,123.8,,low,high,40.0,0.33,0.47,1.22,30.2,200,89.0,PVPVA 64,polymer_carrier,1,0.88,0.92,0.9,"{""wavenumbers"": [735, 912, 1042, 1235, 1463, 1620, 1726, 2944, 3294], ""absorbance"": [0.84, 0.224, 0.327, 0.454, 0.168, 0.366, 0.822, 0.161, 0.093], ""mw_ref"": 314.91}",0.94,0.46,0.83,"{""min"": 20, ""max"": 46, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC-AS LF"", ""compatibility_score"": 0.866}, {""excipient"": ""HPMC-AS MF"", ""compatibility_score"": 0.844}]","[{""excipient"": ""PVP K30"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 0.829}, {""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 1.322}]","[0.0028, 0.0248, 0.0195, -0.029, 0.0536, 0.0349, 0.0009, 0.0223]",hot_melt_extrusion,0.8,"[{""parameter"": ""barrel_temp_c"", ""value"": 192.05}, {""parameter"": ""screw_speed_rpm"", ""value"": 193.19}, {""parameter"": ""feed_rate_g_min"", ""value"": 12.16}, {""parameter"": ""residence_time_min"", ""value"": 6.83}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.459}, {""technique"": ""spray_drying"", ""confidence"": 0.764}]",0.43,moisture_uptake_amorphous_collapse,amorphous_solid_dispersion
AB-2323,Mefenamic acid,O=C(O)c1ccccc1Nc1cccc(C)c1C,241.5,5.21,[4.2],-4.94,II,225.0,,low,medium,47.2,0.43,0.54,1.26,27.5,500,98.0,Eudragit EPO,polymer_carrier,2,0.76,0.73,0.68,"{""wavenumbers"": [739, 899, 1036, 1239, 1455, 1626, 1728, 2962, 3309], ""absorbance"": [0.445, 0.347, 0.194, 0.898, 0.466, 0.164, 0.21, 0.574, 0.678], ""mw_ref"": 241.5}",0.94,0.28,0.77,"{""min"": 20, ""max"": 44, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC E5"", ""compatibility_score"": 0.747}, {""excipient"": ""PVP K17"", ""compatibility_score"": 0.704}]","[{""excipient"": ""PVPVA 64"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 1.097}, {""excipient"": ""HPMC E5"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 1.611}]","[0.003, 0.0135, -0.0102, 0.0253, 0.0001, 0.0024, 0.0008, 0.0165]",spray_drying,0.709,"[{""parameter"": ""inlet_temp_c"", ""value"": 121.46}, {""parameter"": ""outlet_temp_c"", ""value"": 78.74}, {""parameter"": ""feed_conc_pct"", ""value"": 4.5}, {""parameter"": ""atomization_pressure_bar"", ""value"": 4.24}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.48}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.506}]",0.64,oxidative_degradation_peroxide_content,amorphous_solid_dispersion
