record_id,api_name,bcs_class,bcs_class_encoded,logP,aqueous_solubility_mg_ml,molecular_weight_da,pka,melting_point_c,dose_mg,dose_number,hsp_dispersive,hsp_polar,hsp_hydrogen,hsp_total,primary_excipient,excipient_role,excipient_Tg_c,excipient_mw_kda,excipient_hydrophilicity,chi_parameter,formulation_technique,compatibility_score,moisture_stability,polymorphic_risk,confidence_level,concentration_range_pct,is_most_compatible,alternatives_for_role,rejected_excipients,shap_values_per_excipient,primary_technique,technique_confidence,process_parameters,alternative_techniques,desirability_weight,rejection_reason_primary,formulation_strategy
EF-1083,Dexamethasone,I,0,1.83,0.089,392.5,8.7,262,8,0.09,16.1,11.28,18.2,26.79,HPC LF,binder,N/A,95,hydrophilic,0.248,wet_granulation,0.716,0.92,0.09,0.69,"{""min"": 10, ""max"": 43, ""unit"": ""% w/w""}",True,"[{""excipient"": ""MCC PH101"", ""compatibility_score"": 0.772}, {""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.551}]","[{""excipient"": ""HPMC E5"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 0.01}, {""excipient"": ""Soluplus"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 0.01}]","[-0.0734, 0.0535, 0.0166, 0.0482, 0.0074, 0.0027]",wet_granulation,0.668,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 23.74, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 195.98, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 17.39, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 57.15, ""unit"": ""\u00b0C""}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.686}, {""technique"": ""nanosuspension"", ""confidence"": 0.468}]",0.31,,solid_solution
EF-1084,Mefenamic acid,II,1,5.12,0.004,241.3,4.2,230,500,125.0,17.17,3.04,10.76,20.49,Eudragit EPO,ASD_polymer,50,47,cationic,0.945,hot_melt_extrusion,0.738,0.84,0.17,0.67,"{""min"": 44, ""max"": 77, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPMC AS-MF"", ""compatibility_score"": 0.637}, {""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.785}]","[{""excipient"": ""Talc"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.828}, {""excipient"": ""Soluplus"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 0.769}]","[-0.003, 0.0012, 0.0278, -0.0113, -0.0011, -0.0966]",hot_melt_extrusion,0.638,"[{""parameter"": ""barrel_temp_c"", ""value"": 163.32, ""unit"": ""\u00b0C""}, {""parameter"": ""screw_speed_rpm"", ""value"": 145.39, ""unit"": ""rpm""}, {""parameter"": ""feed_rate_g_min"", ""value"": 11.01, ""unit"": ""g/min""}, {""parameter"": ""residence_time_min"", ""value"": 1.07, ""unit"": ""min""}]","[{""technique"": ""direct_compression"", ""confidence"": 0.716}, {""technique"": ""spray_drying"", ""confidence"": 0.582}]",0.67,,salt_formation
EF-1085,Captopril,III,2,0.34,160.0,217.3,3.7,104,25,0.0002,21.81,3.71,7.76,23.44,Lactose monohydrate,filler,N/A,N/A,hydrophilic,0.427,wet_granulation,0.75,0.8,0.07,0.73,"{""min"": 60, ""max"": 61, ""unit"": ""% w/w""}",False,"[{""excipient"": ""MCC PH101"", ""compatibility_score"": 0.819}, {""excipient"": ""PVP K30"", ""compatibility_score"": 0.706}]","[{""excipient"": ""TBC"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 0.152}, {""excipient"": ""HPMC P50"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 0.519}]","[-0.01, 0.0077, 0.0057, 0.0014, 0.0223, 0.0061]",wet_granulation,0.715,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 24.46, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 171.03, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 8.91, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 49.45, ""unit"": ""\u00b0C""}]","[{""technique"": ""hot_melt_coating"", ""confidence"": 0.695}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.707}]",0.37,acid_base_interaction_proton_transfer,solid_solution
EF-1086,Atorvastatin,II,1,6.36,0.009,558.6,4.3,159,40,4.44,15.74,7.39,8.34,19.29,PVP K12,ASD_polymer,175,2.5,hydrophilic,2.008,hot_melt_extrusion,0.543,0.77,0.17,0.5,"{""min"": 23, ""max"": 54, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.657}, {""excipient"": ""Soluplus"", ""compatibility_score"": 0.781}]","[{""excipient"": ""Span 80"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 1.872}, {""excipient"": ""Poloxamer 407"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 0.986}]","[-0.0001, 0.0028, 0.0372, 0.0162, -0.0321, 0.0067]",hot_melt_extrusion,0.482,"[{""parameter"": ""barrel_temp_c"", ""value"": 176.89, ""unit"": ""\u00b0C""}, {""parameter"": ""screw_speed_rpm"", ""value"": 195.26, ""unit"": ""rpm""}, {""parameter"": ""feed_rate_g_min"", ""value"": 7.15, ""unit"": ""g/min""}, {""parameter"": ""residence_time_min"", ""value"": 1.34, ""unit"": ""min""}]","[{""technique"": ""direct_compression"", ""confidence"": 0.737}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.511}]",0.82,moisture_uptake_amorphous_collapse,micellar_solubilization
EF-1087,Danazol,II,1,4.46,0.0008,337.5,3.3,225,200,250.0,15.08,11.96,19.7,27.54,PEG 6000,plasticizer,-65,6,hydrophilic,1.509,hot_melt_coating,0.431,0.68,0.13,0.4,"{""min"": 9, ""max"": 27, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Poloxamer 188"", ""compatibility_score"": 0.756}, {""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.831}]","[{""excipient"": ""HPMC AS-MF"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.203}, {""excipient"": ""Magnesium stearate"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.047}]","[0.0372, 0.0539, 0.0752, -0.0374, 0.0092, 0.0282]",hot_melt_coating,0.386,"[{""parameter"": ""coating_temp_c"", ""value"": 87.69, ""unit"": ""\u00b0C""}, {""parameter"": ""spray_rate_g_min"", ""value"": 5.76, ""unit"": ""g/min""}, {""parameter"": ""pan_speed_rpm"", ""value"": 28.48, ""unit"": ""rpm""}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 8.2, ""unit"": ""%""}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.624}, {""technique"": ""direct_compression"", ""confidence"": 0.584}]",0.45,oxidative_degradation_peroxide_content,crystalline_suspension
EF-1088,Simvastatin,II,1,4.68,0.03,418.6,10.8,135,40,1.33,19.32,9.77,11.48,24.51,HPMC AS-HF,ASD_polymer,119,18,amphiphilic,1.065,spray_drying,0.874,0.97,0.21,0.81,"{""min"": 39, ""max"": 69, ""unit"": ""% w/w""}",True,"[{""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.576}, {""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.665}]","[{""excipient"": ""SDS"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.459}, {""excipient"": ""Eudragit L100"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.341}]","[0.0073, -0.0598, -0.0321, -0.051, 0.0019, 0.004]",spray_drying,0.787,"[{""parameter"": ""inlet_temp_c"", ""value"": 145.25, ""unit"": ""\u00b0C""}, {""parameter"": ""outlet_temp_c"", ""value"": 62.86, ""unit"": ""\u00b0C""}, {""parameter"": ""feed_conc_pct"", ""value"": 5.52, ""unit"": ""%""}, {""parameter"": ""atomization_pressure_bar"", ""value"": 1.1, ""unit"": ""bar""}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.46}, {""technique"": ""wet_granulation"", ""confidence"": 0.734}]",0.35,,amorphous_solid_dispersion
EF-1089,Furosemide,IV,3,2.03,0.006,330.7,3.9,208,40,6.67,19.6,5.2,16.88,26.38,PEG 4000,plasticizer,-65,4,hydrophilic,0.215,lipid_based_formulation,0.394,0.83,0.15,0.45,"{""min"": 8, ""max"": 35, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.723}, {""excipient"": ""Cremophor EL"", ""compatibility_score"": 0.845}]","[{""excipient"": ""Gelucire 44/14"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 0.294}, {""excipient"": ""CAT"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.297}]","[0.0029, 0.0307, 0.041, 0.0087, 0.0006, -0.0024]",lipid_based_formulation,0.456,"[{""parameter"": ""lipid_content_pct"", ""value"": 31.29, ""unit"": ""%""}, {""parameter"": ""hlab_value"", ""value"": 14.92, ""unit"": ""dimensionless""}, {""parameter"": ""drug_loading_pct"", ""value"": 27.04, ""unit"": ""%""}, {""parameter"": ""surfactant_ratio"", ""value"": 0.3, ""unit"": ""w/w""}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.622}, {""technique"": ""spray_drying"", ""confidence"": 0.482}]",0.31,melting_point_depression_below_processing_window,lipid_based_drug_delivery
EF-1090,Naproxen,II,1,3.18,0.016,230.3,4.2,156,500,31.25,17.39,4.13,16.64,24.42,Copovidone,ASD_polymer,106,45,amphiphilic,0.703,coprecipitation,0.894,0.92,0.19,0.8,"{""min"": 45, ""max"": 54, ""unit"": ""% w/w""}",True,"[{""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.557}, {""excipient"": ""PVP K30"", ""compatibility_score"": 0.726}]","[{""excipient"": ""PVP K30"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.01}, {""excipient"": ""PVP K12"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 0.143}]","[-0.0724, 0.017, 0.0162, -0.0255, 0.0309, 0.0198]",coprecipitation,0.767,"[{""parameter"": ""antisolvent_ratio"", ""value"": 7.36, ""unit"": ""v/v""}, {""parameter"": ""precipitation_temp_c"", ""value"": 23.72, ""unit"": ""\u00b0C""}, {""parameter"": ""drying_time_h"", ""value"": 40.51, ""unit"": ""h""}, {""parameter"": ""polymer_drug_ratio"", ""value"": 4.84, ""unit"": ""w/w""}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.511}, {""technique"": ""wet_granulation"", ""confidence"": 0.789}]",0.64,,nanosizing
EF-1091,Prednisolone,I,0,1.62,0.23,360.4,11.5,237,30,0.13,15.89,10.75,19.13,27.09,Lactose monohydrate,filler,N/A,N/A,hydrophilic,0.285,direct_compression,0.712,0.78,0.09,0.71,"{""min"": 39, ""max"": 69, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Croscarmellose Na"", ""compatibility_score"": 0.56}, {""excipient"": ""Magnesium stearate"", ""compatibility_score"": 0.731}]","[{""excipient"": ""Talc"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.23}, {""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.01}]","[0.0272, 0.0088, 0.0443, 0.0517, 0.0491, 0.0658]",direct_compression,0.683,"[{""parameter"": ""compression_force_kn"", ""value"": 27.13, ""unit"": ""kN""}, {""parameter"": ""tablet_hardness_n"", ""value"": 63.31, ""unit"": ""N""}, {""parameter"": ""disintegration_target_min"", ""value"": 22.72, ""unit"": ""min""}, {""parameter"": ""punch_speed_rpm"", ""value"": 58.35, ""unit"": ""rpm""}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.454}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.523}]",0.64,,complexation_cyclodextrin
EF-1092,Fluconazole,I,0,0.25,8.0,306.3,10.8,138,100,0.013,17.7,10.79,19.47,28.44,Colloidal SiO2,glidant,N/A,N/A,neutral,0.402,direct_compression,0.396,0.92,0.07,0.37,"{""min"": 0, ""max"": 1, ""unit"": ""% w/w""}",False,"[{""excipient"": ""DCPA"", ""compatibility_score"": 0.655}, {""excipient"": ""Magnesium stearate"", ""compatibility_score"": 0.663}]","[{""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 0.321}, {""excipient"": ""SSG"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.01}]","[0.0111, 0.0288, 0.0207, 0.0123, 0.014, 0.0111]",direct_compression,0.399,"[{""parameter"": ""compression_force_kn"", ""value"": 6.86, ""unit"": ""kN""}, {""parameter"": ""tablet_hardness_n"", ""value"": 75.52, ""unit"": ""N""}, {""parameter"": ""disintegration_target_min"", ""value"": 14.39, ""unit"": ""min""}, {""parameter"": ""punch_speed_rpm"", ""value"": 63.92, ""unit"": ""rpm""}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.568}, {""technique"": ""hot_melt_extrusion"", ""confidence"": 0.795}]",0.78,thermodynamic_incompatibility_chi_exceeds_threshold,amorphous_solid_dispersion
EF-1093,Verapamil,I,0,3.79,73.0,454.6,8.8,143,240,0.003,15.71,4.47,6.23,17.48,PEG 6000,plasticizer,-65,6,hydrophilic,1.028,hot_melt_coating,0.498,0.84,0.06,0.51,"{""min"": 10, ""max"": 23, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.748}, {""excipient"": ""Poloxamer 188"", ""compatibility_score"": 0.639}]","[{""excipient"": ""HPMC AS-HF"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 1.259}, {""excipient"": ""HPMC K15M"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 1.003}]","[0.0064, 0.0226, -0.0369, 0.0267, -0.0058, 0.0123]",hot_melt_coating,0.499,"[{""parameter"": ""coating_temp_c"", ""value"": 76.48, ""unit"": ""\u00b0C""}, {""parameter"": ""spray_rate_g_min"", ""value"": 14.0, ""unit"": ""g/min""}, {""parameter"": ""pan_speed_rpm"", ""value"": 13.99, ""unit"": ""rpm""}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 3.31, ""unit"": ""%""}]","[{""technique"": ""spray_drying"", ""confidence"": 0.552}, {""technique"": ""nanosuspension"", ""confidence"": 0.479}]",0.74,acid_base_interaction_proton_transfer,complexation_cyclodextrin
EF-1094,Theophylline,I,0,-0.02,8.3,180.2,8.8,270,200,0.024,17.6,6.58,6.17,19.78,DCPA,filler,N/A,N/A,neutral,0.438,direct_compression,0.734,0.81,0.08,0.75,"{""min"": 42, ""max"": 65, ""unit"": ""% w/w""}",False,"[{""excipient"": ""MCC PH101"", ""compatibility_score"": 0.682}, {""excipient"": ""Mannitol"", ""compatibility_score"": 0.629}]","[{""excipient"": ""Kollidon 12 PF"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 0.562}, {""excipient"": ""SSG"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.398}]","[0.1468, 0.012, 0.0156, -0.0335, 0.0569, 0.0235]",direct_compression,0.755,"[{""parameter"": ""compression_force_kn"", ""value"": 25.46, ""unit"": ""kN""}, {""parameter"": ""tablet_hardness_n"", ""value"": 112.79, ""unit"": ""N""}, {""parameter"": ""disintegration_target_min"", ""value"": 18.39, ""unit"": ""min""}, {""parameter"": ""punch_speed_rpm"", ""value"": 72.01, ""unit"": ""rpm""}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.759}, {""technique"": ""nanosuspension"", ""confidence"": 0.617}]",0.21,thermodynamic_incompatibility_chi_exceeds_threshold,co_crystal
EF-1095,Chlorothiazide,IV,3,-0.24,0.827,295.7,6.7,359,250,0.3,21.89,13.67,16.74,30.76,HPMC AS-LF,ASD_polymer,119,18,amphiphilic,0.549,spray_drying,0.683,0.96,0.09,0.71,"{""min"": 25, ""max"": 80, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC AS-HF"", ""compatibility_score"": 0.677}, {""excipient"": ""HPMC AS-MF"", ""compatibility_score"": 0.846}]","[{""excipient"": ""Tween 80"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.041}, {""excipient"": ""Eudragit L100"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.01}]","[0.0383, 0.0382, -0.0429, -0.0524, 0.0759, 0.0146]",spray_drying,0.702,"[{""parameter"": ""inlet_temp_c"", ""value"": 168.53, ""unit"": ""\u00b0C""}, {""parameter"": ""outlet_temp_c"", ""value"": 70.79, ""unit"": ""\u00b0C""}, {""parameter"": ""feed_conc_pct"", ""value"": 13.92, ""unit"": ""%""}, {""parameter"": ""atomization_pressure_bar"", ""value"": 1.05, ""unit"": ""bar""}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.656}, {""technique"": ""nanosuspension"", ""confidence"": 0.724}]",0.23,hygroscopicity_induced_phase_separation,solid_solution
EF-1096,Ritonavir,II,1,6.63,0.001,720.9,4.6,122,100,100.0,21.07,12.56,17.92,30.38,PVP K30,ASD_polymer,175,50,hydrophilic,2.215,coprecipitation,0.868,0.74,0.34,0.87,"{""min"": 45, ""max"": 59, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Copovidone"", ""compatibility_score"": 0.722}, {""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.692}]","[{""excipient"": ""PVPVA 64"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 0.931}, {""excipient"": ""Kollidon 12 PF"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.922}]","[0.0024, 0.0064, 0.0235, 0.0344, -0.1654, 0.0698]",coprecipitation,0.864,"[{""parameter"": ""antisolvent_ratio"", ""value"": 18.81, ""unit"": ""v/v""}, {""parameter"": ""precipitation_temp_c"", ""value"": 22.43, ""unit"": ""\u00b0C""}, {""parameter"": ""drying_time_h"", ""value"": 12.73, ""unit"": ""h""}, {""parameter"": ""polymer_drug_ratio"", ""value"": 4.27, ""unit"": ""w/w""}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.548}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.622}]",0.64,,crystalline_suspension
EF-1097,Nifedipine,II,1,3.17,0.008,346.3,2.9,172,30,3.75,17.25,10.75,13.28,24.28,HPMC AS-MF,ASD_polymer,119,18,amphiphilic,0.681,spray_drying,0.695,0.84,0.11,0.66,"{""min"": 44, ""max"": 76, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.824}, {""excipient"": ""HPMC AS-HF"", ""compatibility_score"": 0.672}]","[{""excipient"": ""Mannitol"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.01}, {""excipient"": ""Starch 1500"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 0.642}]","[0.0024, 0.0022, 0.1601, 0.0287, 0.0656, -0.0319]",spray_drying,0.636,"[{""parameter"": ""inlet_temp_c"", ""value"": 170.01, ""unit"": ""\u00b0C""}, {""parameter"": ""outlet_temp_c"", ""value"": 58.03, ""unit"": ""\u00b0C""}, {""parameter"": ""feed_conc_pct"", ""value"": 2.75, ""unit"": ""%""}, {""parameter"": ""atomization_pressure_bar"", ""value"": 1.13, ""unit"": ""bar""}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.697}, {""technique"": ""direct_compression"", ""confidence"": 0.546}]",0.73,polymorphic_conversion_under_stress,solid_solution
EF-1098,Theophylline,I,0,-0.02,8.3,180.2,8.8,270,200,0.024,19.16,4.13,17.8,26.48,PEG 4000,plasticizer,-65,4,hydrophilic,0.279,hot_melt_coating,0.37,0.75,0.17,0.4,"{""min"": 16, ""max"": 51, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.653}, {""excipient"": ""Poloxamer 188"", ""compatibility_score"": 0.801}]","[{""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 0.703}, {""excipient"": ""HPMC AS-MF"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 0.385}]","[0.0902, -0.0108, -0.0586, 0.009, 0.0866, -0.0666]",hot_melt_coating,0.393,"[{""parameter"": ""coating_temp_c"", ""value"": 66.38, ""unit"": ""\u00b0C""}, {""parameter"": ""spray_rate_g_min"", ""value"": 5.3, ""unit"": ""g/min""}, {""parameter"": ""pan_speed_rpm"", ""value"": 25.61, ""unit"": ""rpm""}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 12.21, ""unit"": ""%""}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.769}, {""technique"": ""direct_compression"", ""confidence"": 0.677}]",0.57,thermodynamic_incompatibility_chi_exceeds_threshold,nanosizing
EF-1099,Atorvastatin,II,1,6.36,0.009,558.6,4.3,159,40,4.44,21.27,12.22,10.8,26.8,PEG 4000,plasticizer,-65,4,hydrophilic,1.968,lipid_based_formulation,0.426,0.78,0.21,0.46,"{""min"": 13, ""max"": 47, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Cremophor EL"", ""compatibility_score"": 0.641}, {""excipient"": ""Poloxamer 188"", ""compatibility_score"": 0.706}]","[{""excipient"": ""Talc"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 0.879}, {""excipient"": ""Cremophor EL"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 2.092}]","[0.001, -0.0362, 0.0023, 0.0116, 0.0081, 0.0065]",lipid_based_formulation,0.461,"[{""parameter"": ""lipid_content_pct"", ""value"": 40.18, ""unit"": ""%""}, {""parameter"": ""hlab_value"", ""value"": 9.94, ""unit"": ""dimensionless""}, {""parameter"": ""drug_loading_pct"", ""value"": 13.13, ""unit"": ""%""}, {""parameter"": ""surfactant_ratio"", ""value"": 0.21, ""unit"": ""w/w""}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.783}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.678}]",0.28,polymorphic_conversion_under_stress,salt_formation
EF-1100,Acyclovir,III,2,-1.56,2.5,225.2,2.3,256,400,0.16,18.48,5.55,18.42,26.68,Starch 1500,disintegrant,N/A,N/A,hydrophilic,0.528,wet_granulation,0.758,0.79,0.05,0.72,"{""min"": 2, ""max"": 15, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPC LF"", ""compatibility_score"": 0.771}, {""excipient"": ""Croscarmellose Na"", ""compatibility_score"": 0.725}]","[{""excipient"": ""SSG"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 0.806}, {""excipient"": ""Eudragit L100"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.559}]","[-0.0328, 0.1882, 0.0494, 0.0226, 0.0064, -0.0086]",wet_granulation,0.699,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 17.06, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 322.28, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 15.88, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 56.77, ""unit"": ""\u00b0C""}]","[{""technique"": ""spray_drying"", ""confidence"": 0.765}, {""technique"": ""coprecipitation"", ""confidence"": 0.679}]",0.31,,lipid_based_drug_delivery
EF-1101,Atorvastatin,II,1,6.36,0.009,558.6,4.3,159,40,4.44,17.06,12.21,11.0,23.69,Poloxamer 188,solubilizer,-20,8.4,hydrophilic,2.05,hot_melt_coating,0.762,0.82,0.22,0.73,"{""min"": 13, ""max"": 57, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.692}, {""excipient"": ""PEG 4000"", ""compatibility_score"": 0.608}]","[{""excipient"": ""PVP K12"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.082}, {""excipient"": ""TEC"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.834}]","[0.0169, 0.0046, 0.0741, -0.0483, 0.0281, 0.0158]",hot_melt_coating,0.743,"[{""parameter"": ""coating_temp_c"", ""value"": 85.71, ""unit"": ""\u00b0C""}, {""parameter"": ""spray_rate_g_min"", ""value"": 19.8, ""unit"": ""g/min""}, {""parameter"": ""pan_speed_rpm"", ""value"": 12.86, ""unit"": ""rpm""}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 13.35, ""unit"": ""%""}]","[{""technique"": ""spray_drying"", ""confidence"": 0.621}, {""technique"": ""hot_melt_extrusion"", ""confidence"": 0.671}]",0.27,,pH_adjusted_formulation
EF-1102,Dexamethasone,I,0,1.83,0.089,392.5,9.8,262,8,0.09,19.03,3.9,16.35,25.39,MCC PH101,filler_binder,N/A,N/A,hydrophilic,0.185,wet_granulation,0.636,0.78,0.06,0.62,"{""min"": 54, ""max"": 65, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVP K30"", ""compatibility_score"": 0.74}, {""excipient"": ""Starch 1500"", ""compatibility_score"": 0.671}]","[{""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.3}, {""excipient"": ""Gelucire 44/14"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 0.526}]","[0.0066, 0.0604, -0.0608, -0.0587, 0.0078, 0.0172]",wet_granulation,0.62,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 13.73, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 308.06, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 10.17, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 43.87, ""unit"": ""\u00b0C""}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.656}, {""technique"": ""nanosuspension"", ""confidence"": 0.508}]",0.73,acid_base_interaction_proton_transfer,nanosizing
